route,crs_dep_hour,airtime_mean
ABQ_AUS,10,80.26136363636364
ABQ_AUS,11,80.22624434389141
ABQ_AUS,12,79.112
ABQ_AUS,13,81.58558558558559
ABQ_AUS,14,81.10714285714286
ABQ_AUS,15,79.36363636363636
ABQ_AUS,16,81.80246913580247
ABQ_AUS,17,79.1159420289855
ABQ_AUS,18,79.78378378378379
ABQ_AUS,19,78.75
ABQ_AUS,20,78.0
ABQ_AUS,21,77.5
ABQ_AUS,22,82.6
ABQ_BUR,11,102.25
ABQ_BUR,15,102.10714285714286
ABQ_BUR,16,104.0
ABQ_BUR,17,102.88888888888889
ABQ_BUR,18,97.93333333333334
ABQ_BWI,5,194.375
ABQ_BWI,6,202.1176470588236
ABQ_BWI,7,199.7735849056604
ABQ_BWI,8,194.2244897959184
ABQ_BWI,9,194.6542553191489
ABQ_BWI,10,192.54098360655732
ABQ_BWI,11,198.3404255319149
ABQ_BWI,12,196.75
ABQ_BWI,13,193.5
ABQ_BWI,14,197.01388888888889
ABQ_BWI,15,200.45238095238096
ABQ_BWI,16,206.1578947368421
ABQ_DAL,5,79.66666666666667
ABQ_DAL,6,80.98076923076923
ABQ_DAL,7,81.27240143369175
ABQ_DAL,8,80.70731707317073
ABQ_DAL,9,81.18181818181819
ABQ_DAL,10,81.73396674584323
ABQ_DAL,11,81.55654761904762
ABQ_DAL,12,82.1590909090909
ABQ_DAL,13,82.27430555555556
ABQ_DAL,14,81.98310810810811
ABQ_DAL,15,82.00675675675676
ABQ_DAL,16,81.6376811594203
ABQ_DAL,17,81.43243243243244
ABQ_DAL,18,81.08266666666667
ABQ_DAL,19,78.81132075471699
ABQ_DAL,20,79.28125
ABQ_DAL,21,78.21428571428571
ABQ_DEN,5,56.9405737704918
ABQ_DEN,6,55.34164588528678
ABQ_DEN,7,57.2427797833935
ABQ_DEN,8,57.16818181818182
ABQ_DEN,9,57.06687898089172
ABQ_DEN,10,55.5202492211838
ABQ_DEN,11,56.38841201716738
ABQ_DEN,12,55.850515463917525
ABQ_DEN,13,57.75298804780876
ABQ_DEN,14,57.09502262443439
ABQ_DEN,15,59.04827586206896
ABQ_DEN,16,56.331550802139034
ABQ_DEN,17,56.4218009478673
ABQ_DEN,18,57.89917355371901
ABQ_DEN,19,55.892857142857146
ABQ_DEN,20,54.84782608695652
ABQ_DEN,21,55.16216216216216
ABQ_DEN,22,51.0
ABQ_DFW,5,77.48283261802575
ABQ_DFW,6,78.74397244546498
ABQ_DFW,7,77.70408163265306
ABQ_DFW,8,78.80052151238591
ABQ_DFW,9,80.83333333333333
ABQ_DFW,10,78.93014230271669
ABQ_DFW,11,77.70980392156862
ABQ_DFW,12,78.04739336492891
ABQ_DFW,13,77.68
ABQ_DFW,14,79.48281786941581
ABQ_DFW,15,78.52127659574468
ABQ_DFW,16,78.527817403709
ABQ_DFW,17,79.28169014084507
ABQ_DFW,18,77.52442159383034
ABQ_DFW,20,81.0
ABQ_HOU,5,97.9090909090909
ABQ_HOU,6,98.98857142857145
ABQ_HOU,7,98.87654320987654
ABQ_HOU,8,96.9375
ABQ_HOU,9,98.48387096774194
ABQ_HOU,10,99.67241379310344
ABQ_HOU,11,99.65983606557376
ABQ_HOU,12,102.40625
ABQ_HOU,13,100.2112676056338
ABQ_HOU,14,100.10887096774194
ABQ_HOU,15,100.58673469387755
ABQ_HOU,16,98.9590909090909
ABQ_HOU,17,96.0
ABQ_HOU,18,95.5625
ABQ_HOU,19,97.6
ABQ_HOU,20,95.5
ABQ_HOU,21,100.66666666666669
ABQ_IAH,5,103.58620689655172
ABQ_IAH,7,101.75174013921114
ABQ_IAH,8,102.46625766871166
ABQ_IAH,9,100.33333333333331
ABQ_IAH,10,103.23333333333332
ABQ_IAH,11,103.3877551020408
ABQ_IAH,12,102.49374130737137
ABQ_IAH,13,107.53465346534654
ABQ_IAH,14,103.18409090909093
ABQ_IAH,15,105.38666666666668
ABQ_IAH,16,102.0
ABQ_IAH,17,100.96700507614212
ABQ_IAH,20,94.66666666666669
ABQ_JFK,13,213.77272727272728
ABQ_JFK,23,215.68358208955223
ABQ_LAS,5,70.97165991902834
ABQ_LAS,6,72.22772277227723
ABQ_LAS,7,70.81818181818181
ABQ_LAS,8,74.21978021978022
ABQ_LAS,9,73.04716981132076
ABQ_LAS,10,72.99288256227759
ABQ_LAS,11,73.3089430894309
ABQ_LAS,12,73.3076923076923
ABQ_LAS,13,72.99545454545455
ABQ_LAS,14,73.22222222222223
ABQ_LAS,15,73.24719101123596
ABQ_LAS,16,73.50222222222222
ABQ_LAS,17,72.21379310344828
ABQ_LAS,18,72.08
ABQ_LAS,19,72.06976744186046
ABQ_LAS,20,73.04182509505704
ABQ_LAS,21,71.9090909090909
ABQ_LAS,22,71.65306122448979
ABQ_LAS,23,71.0625
ABQ_LAX,5,99.45
ABQ_LAX,6,98.59341950646298
ABQ_LAX,7,98.60842433697348
ABQ_LAX,8,95.47169811320757
ABQ_LAX,9,95.8
ABQ_LAX,10,95.92207792207792
ABQ_LAX,11,97.68923076923078
ABQ_LAX,12,99.4278350515464
ABQ_LAX,13,98.43791722296395
ABQ_LAX,14,98.01639344262296
ABQ_LAX,15,99.83443708609272
ABQ_LAX,16,98.67549668874172
ABQ_LAX,17,100.59024390243904
ABQ_LAX,18,98.402390438247
ABQ_LAX,19,97.00765306122447
ABQ_LAX,20,99.27215189873418
ABQ_LAX,21,97.8181818181818
ABQ_LAX,22,93.1509433962264
ABQ_MCI,6,90.45238095238096
ABQ_MCI,7,93.22222222222224
ABQ_MCI,8,92.15384615384616
ABQ_MCI,9,88.02222222222223
ABQ_MCI,10,89.50485436893204
ABQ_MCI,11,89.28846153846153
ABQ_MCI,12,89.4
ABQ_MCI,13,88.25
ABQ_MCI,14,89.0
ABQ_MCI,15,89.625
ABQ_MCI,16,89.79569892473118
ABQ_MCI,17,92.08333333333331
ABQ_MCI,18,89.75
ABQ_MCI,19,91.08333333333331
ABQ_MCO,0,181.56578947368425
ABQ_MCO,6,193.0
ABQ_MCO,9,194.66666666666663
ABQ_MCO,10,194.6
ABQ_MCO,11,188.66666666666663
ABQ_MCO,12,179.66666666666666
ABQ_MCO,19,182.2
ABQ_MDW,5,140.11764705882354
ABQ_MDW,6,145.75
ABQ_MDW,7,136.7076923076923
ABQ_MDW,8,137.08270676691728
ABQ_MDW,9,137.5875
ABQ_MDW,10,140.3030303030303
ABQ_MDW,11,137.1
ABQ_MDW,12,140.37974683544303
ABQ_MDW,13,140.88095238095238
ABQ_MDW,14,138.24550898203591
ABQ_MDW,15,139.14492753623188
ABQ_MDW,16,135.9438202247191
ABQ_MDW,17,137.6153846153846
ABQ_MDW,18,138.66666666666666
ABQ_MDW,19,137.33333333333334
ABQ_MSP,5,141.0
ABQ_MSP,6,123.2
ABQ_MSP,7,119.125
ABQ_MSP,8,122.5
ABQ_MSP,13,120.0
ABQ_MSP,14,124.59067357512951
ABQ_MSP,15,120.0
ABQ_OAK,5,126.4795918367347
ABQ_OAK,6,124.48780487804878
ABQ_OAK,7,123.79545454545456
ABQ_OAK,8,127.67045454545456
ABQ_OAK,9,126.52173913043478
ABQ_OAK,10,126.89677419354838
ABQ_OAK,11,125.75280898876404
ABQ_OAK,12,126.63636363636364
ABQ_OAK,13,127.23529411764706
ABQ_OAK,14,124.89189189189187
ABQ_OAK,15,125.3793103448276
